
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value,Vaccine
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-19 23:39:53 +0000,2021-08-19 23:39:53 +0000,count/min,17.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-19 23:47:25 +0000,2021-08-19 23:47:25 +0000,count/min,18.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 00:00:28 +0000,2021-08-20 00:00:28 +0000,count/min,18.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 02:07:03 +0000,2021-08-20 02:07:03 +0000,count/min,16.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 02:11:04 +0000,2021-08-20 02:11:04 +0000,count/min,17.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 02:25:37 +0000,2021-08-20 02:25:37 +0000,count/min,15.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 02:35:39 +0000,2021-08-20 02:35:39 +0000,count/min,15.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 02:41:41 +0000,2021-08-20 02:41:41 +0000,count/min,15.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 02:49:42 +0000,2021-08-20 02:49:42 +0000,count/min,14.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 03:06:46 +0000,2021-08-20 03:06:46 +0000,count/min,15.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 03:14:18 +0000,2021-08-20 03:14:18 +0000,count/min,15.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 03:22:50 +0000,2021-08-20 03:22:50 +0000,count/min,15.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 03:36:23 +0000,2021-08-20 03:36:23 +0000,count/min,15.0,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 03:45:55 +0000,2021-08-20 03:45:55 +0000,count/min,14.5,0
HKQuantityTypeIdentifierRespiratoryRate,Laima’s Apple Watch,8.0,"Watch4,3","<<HKDevice: 0x2828245f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch4,3, software:8.0>",2021-08-20 03:48:26 +0000,2021-08-20 03:48:26 +0000,count/min,14.5,0
