Device,Start_Date,Start_Time,End_Date,End_Time,0
HK Apple Watch,8/19/21,22:01:13,8/19/21,22:01:13,0
HK Apple Watch,8/19/21,22:02:45,8/19/21,22:02:45,0
HK Apple Watch,8/19/21,22:04:07,8/19/21,22:04:07,0
HK Apple Watch,8/19/21,22:05:40,8/19/21,22:05:40,0
HK Apple Watch,8/19/21,22:09:05,8/19/21,22:09:05,0
HK Apple Watch,8/19/21,23:52:13,8/19/21,23:52:13,0
HK Apple Watch,8/19/21,23:49:08,8/19/21,23:49:08,0
HK Apple Watch,8/19/21,23:58:13,8/19/21,23:58:13,0
HK Apple Watch,8/19/21,22:42:40,8/19/21,22:42:40,0
HK Apple Watch,8/20/21,0:35:03,8/20/21,0:35:03,0
HK Apple Watch,8/20/21,1:07:04,8/20/21,1:07:04,0
HK Apple Watch,8/20/21,2:26:23,8/20/21,2:26:23,0
HK Apple Watch,8/20/21,2:04:07,8/20/21,2:04:07,0
HK Apple Watch,8/20/21,2:27:35,8/20/21,2:27:35,0
HK Apple Watch,8/20/21,2:30:40,8/20/21,2:30:40,0
HK Apple Watch,8/20/21,0:24:25,8/20/21,0:24:25,0
HK Apple Watch,8/20/21,3:10:55,8/20/21,3:10:55,0
HK Apple Watch,8/20/21,3:29:15,8/20/21,3:29:15,0
HK Apple Watch,8/20/21,4:36:45,8/20/21,4:36:45,0
HK Apple Watch,8/20/21,4:55:15,8/20/21,4:55:15,0
HK Apple Watch,8/20/21,4:55:25,8/20/21,4:55:25,0
HK Apple Watch,8/20/21,4:10:53,8/20/21,4:10:53,0
HK Apple Watch,8/20/21,4:24:45,8/20/21,4:24:45,0
HK Apple Watch,8/20/21,22:07:33,8/20/21,22:07:33,0
HK Apple Watch,8/20/21,23:53:14,8/20/21,23:53:14,0
HK Apple Watch,8/20/21,22:13:00,8/20/21,22:13:00,0
HK Apple Watch,8/20/21,23:56:18,8/20/21,23:56:18,0
HK Apple Watch,8/21/21,0:12:31,8/21/21,0:12:31,0
HK Apple Watch,8/21/21,22:14:00,8/21/21,22:14:00,0
HK Apple Watch,8/21/21,22:16:43,8/21/21,22:16:43,0
HK Apple Watch,8/21/21,22:57:01,8/21/21,22:57:01,0
HK Apple Watch,8/21/21,22:54:17,8/21/21,22:54:17,0
HK Apple Watch,8/21/21,23:14:57,8/21/21,23:14:57,0
HK Apple Watch,8/21/21,23:20:24,8/21/21,23:20:24,0
HK Apple Watch,8/22/21,0:25:17,8/22/21,0:25:17,0
HK Apple Watch,8/21/21,23:43:38,8/21/21,23:43:38,0
HK Apple Watch,8/22/21,1:17:42,8/22/21,1:17:42,0
HK Apple Watch,8/21/21,23:28:16,8/21/21,23:28:16,0
HK Apple Watch,8/22/21,1:20:57,8/22/21,1:20:57,0
HK Apple Watch,8/22/21,2:03:17,8/22/21,2:03:17,0
HK Apple Watch,8/22/21,2:24:58,8/22/21,2:24:58,0
HK Apple Watch,8/22/21,2:57:54,8/22/21,2:57:54,0
