Start_Date_Risk,Start_Time_Risk,Risk
2021-08-20,17:31:06,0.0
2021-08-22,17:31:06,0.0
2021-08-23,17:31:06,0.0
2021-08-24,17:31:06,1.0
2021-08-25,17:31:06,0.0
2021-08-26,17:31:06,0.0
2021-08-31,17:31:06,0.0
2021-09-01,17:31:06,0.0
2021-09-02,17:31:06,0.0
2021-09-06,17:31:06,0.0
2021-09-07,17:31:06,0.0
2021-09-08,17:31:06,0.0
2021-09-09,17:31:06,0.0
2021-09-10,17:31:06,1.0
2021-09-11,17:31:06,1.0
2021-09-13,17:31:06,0.0
2021-09-14,17:31:06,0.0
2021-09-15,17:31:06,0.0
2021-09-16,17:31:06,0.0
2021-09-17,17:31:06,0.0
2021-09-18,17:31:06,0.0
2021-09-21,17:31:06,1.0
2021-09-22,17:31:06,0.0
2021-09-23,17:31:06,0.0
2021-09-24,17:31:06,0.0
2021-09-28,17:31:06,0.0
2021-10-01,17:31:06,0.0
2021-10-02,17:31:06,0.0
2021-10-05,17:31:06,0.0
2021-10-06,17:31:06,0.0
