,End_Time,End_Date,Start_Time,Start_Date,Steps
0,22:31:13,2021-08-19,21:31:13,2021-08-19,0
1,22:32:45,2021-08-19,21:32:45,2021-08-19,0
2,22:34:07,2021-08-19,21:34:07,2021-08-19,0
3,22:35:40,2021-08-19,21:35:40,2021-08-19,0
4,22:39:05,2021-08-19,21:39:05,2021-08-19,0
5,00:22:13,2021-08-19,23:22:13,2021-08-19,0
6,00:19:08,2021-08-19,23:19:08,2021-08-19,0
7,00:28:13,2021-08-19,23:28:13,2021-08-19,0
8,23:12:40,2021-08-19,22:12:40,2021-08-19,0
9,01:05:03,2021-08-20,00:05:03,2021-08-20,0
10,01:37:04,2021-08-20,00:37:04,2021-08-20,0
11,02:56:23,2021-08-20,01:56:23,2021-08-20,0
12,02:34:07,2021-08-20,01:34:07,2021-08-20,0
13,02:57:35,2021-08-20,01:57:35,2021-08-20,0
14,03:00:40,2021-08-20,02:00:40,2021-08-20,0
15,00:54:25,2021-08-20,23:54:25,2021-08-20,0
16,03:40:55,2021-08-20,02:40:55,2021-08-20,0
17,03:59:15,2021-08-20,02:59:15,2021-08-20,0
18,05:06:45,2021-08-20,04:06:45,2021-08-20,0
19,05:25:15,2021-08-20,04:25:15,2021-08-20,0
20,05:25:25,2021-08-20,04:25:25,2021-08-20,0
21,04:40:53,2021-08-20,03:40:53,2021-08-20,0
22,04:54:45,2021-08-20,03:54:45,2021-08-20,0
23,22:37:33,2021-08-20,21:37:33,2021-08-20,0
24,00:23:14,2021-08-20,23:23:14,2021-08-20,0
25,22:43:00,2021-08-20,21:43:00,2021-08-20,0
26,00:26:18,2021-08-20,23:26:18,2021-08-20,0
27,00:42:31,2021-08-21,23:42:31,2021-08-21,0
28,22:44:00,2021-08-21,21:44:00,2021-08-21,0
29,22:46:43,2021-08-21,21:46:43,2021-08-21,0
30,23:27:01,2021-08-21,22:27:01,2021-08-21,0
31,23:24:17,2021-08-21,22:24:17,2021-08-21,0
32,23:44:57,2021-08-21,22:44:57,2021-08-21,0
33,23:50:24,2021-08-21,22:50:24,2021-08-21,0
34,00:55:17,2021-08-22,23:55:17,2021-08-22,0
35,00:13:38,2021-08-21,23:13:38,2021-08-21,0
36,01:47:42,2021-08-22,00:47:42,2021-08-22,0
37,23:58:16,2021-08-21,22:58:16,2021-08-21,0
38,01:50:57,2021-08-22,00:50:57,2021-08-22,0
39,02:33:17,2021-08-22,01:33:17,2021-08-22,0
40,02:54:58,2021-08-22,01:54:58,2021-08-22,0
41,03:27:54,2021-08-22,02:27:54,2021-08-22,0
42,03:30:49,2021-08-22,02:30:49,2021-08-22,0
43,03:10:40,2021-08-22,02:10:40,2021-08-22,0
44,03:50:06,2021-08-22,02:50:06,2021-08-22,0
